customer_id,signup_date
C1000,2024-01-13
C1001,2023-09-08
C1002,2023-10-01
C1003,2023-12-25
C1004,2023-08-20
C1005,2023-11-07
C1006,2023-11-30
C1007,2023-04-01
C1008,2023-01-23
C1009,2023-05-01
C1010,2023-04-25
C1011,2023-12-16
C1012,2024-01-01
C1013,2023-01-03
C1014,2023-07-19
C1015,2023-11-25
C1016,2023-02-22
C1017,2023-11-15
C1018,2023-02-17
C1019,2023-07-07
C1020,2023-11-23
C1021,2023-05-02
C1022,2023-05-17
C1023,2023-04-22
C1024,2023-10-15
C1025,2023-04-12
C1026,2024-02-01
C1027,2023-06-28
C1028,2023-07-11
C1029,2023-07-21
C1030,2023-08-22
C1031,2023-08-10
C1032,2023-07-23
C1033,2024-02-03
C1034,2023-11-20
C1035,2023-11-14
C1036,2023-10-08
C1037,2023-09-06
C1038,2023-05-17
C1039,2024-01-31
C1040,2023-07-06
C1041,2023-03-28
C1042,2023-12-05
C1043,2023-03-06
C1044,2023-12-09
C1045,2023-09-03
C1046,2023-02-15
C1047,2023-01-18
C1048,2023-06-27
C1049,2023-01-15
C1050,2023-02-26
C1051,2023-07-25
C1052,2024-01-24
C1053,2023-07-06
C1054,2023-11-20
C1055,2024-01-02
C1056,2023-11-26
C1057,2023-09-09
C1058,2023-06-26
C1059,2023-07-25
C1060,2023-04-17
C1061,2023-07-18
C1062,2023-06-01
C1063,2023-04-10
C1064,2024-02-02
C1065,2023-01-05
C1066,2023-02-08
C1067,2023-03-18
C1068,2024-01-23
C1069,2023-10-04
C1070,2023-12-19
C1071,2023-03-22
C1072,2023-10-16
C1073,2023-05-28
C1074,2023-07-15
C1075,2023-01-02
C1076,2023-09-05
C1077,2023-11-29
C1078,2023-09-23
C1079,2023-03-03
C1080,2023-08-02
C1081,2023-04-18
C1082,2024-01-21
C1083,2023-12-19
C1084,2023-03-16
C1085,2023-07-23
C1086,2024-01-11
C1087,2023-12-05
C1088,2023-10-11
C1089,2023-09-13
C1090,2023-01-17
C1091,2023-10-24
C1092,2023-07-09
C1093,2023-02-06
C1094,2023-04-08
C1095,2023-08-05
C1096,2023-10-18
C1097,2023-07-23
C1098,2023-09-03
C1099,2023-12-15
C1100,2023-10-02
C1101,2023-05-25
C1102,2023-09-15
C1103,2023-08-28
C1104,2023-02-13
C1105,2023-01-24
C1106,2023-09-22
C1107,2023-06-05
C1108,2023-08-28
C1109,2023-05-10
C1110,2023-04-01
C1111,2023-03-02
C1112,2023-06-02
C1113,2023-11-23
C1114,2023-06-10
C1115,2023-06-01
C1116,2023-08-19
C1117,2024-01-27
C1118,2023-06-06
C1119,2023-08-24
C1120,2023-06-25
C1121,2023-08-31
C1122,2023-06-28
C1123,2023-09-13
C1124,2023-08-07
C1125,2023-09-28
C1126,2024-01-18
C1127,2023-03-02
C1128,2023-08-13
C1129,2023-06-26
C1130,2023-05-24
C1131,2023-04-06
C1132,2023-01-21
C1133,2023-06-10
C1134,2023-11-27
C1135,2023-02-08
C1136,2023-06-12
C1137,2024-01-23
C1138,2024-01-16
C1139,2023-03-28
C1140,2023-01-04
C1141,2023-09-26
C1142,2023-01-06
C1143,2023-05-01
C1144,2023-07-18
C1145,2023-12-16
C1146,2023-02-07
C1147,2023-09-22
C1148,2023-08-02
C1149,2023-02-22
C1150,2023-12-05
C1151,2023-12-05
C1152,2023-07-13
C1153,2024-01-13
C1154,2023-08-31
C1155,2023-12-28
C1156,2024-01-20
C1157,2023-08-16
C1158,2023-04-23
C1159,2023-02-28
C1160,2023-08-14
C1161,2023-03-18
C1162,2023-10-28
C1163,2024-01-07
C1164,2023-04-09
C1165,2023-08-09
C1166,2023-01-20
C1167,2023-03-14
C1168,2023-05-31
C1169,2023-12-20
C1170,2024-01-23
C1171,2023-09-14
C1172,2023-08-22
C1173,2023-08-16
C1174,2023-01-25
C1175,2023-05-31
C1176,2024-01-29
C1177,2023-06-14
C1178,2023-03-27
C1179,2023-04-06
C1180,2023-10-13
C1181,2023-01-16
C1182,2024-01-23
C1183,2023-12-17
C1184,2023-08-16
C1185,2023-07-07
C1186,2023-11-01
C1187,2023-08-08
C1188,2023-07-10
C1189,2023-05-09
C1190,2023-06-28
C1191,2023-10-28
C1192,2023-01-23
C1193,2023-01-11
C1194,2023-10-16
C1195,2023-05-29
C1196,2023-11-18
C1197,2023-01-13
C1198,2023-12-29
C1199,2023-02-19
C1200,2023-06-16
C1201,2024-01-22
C1202,2023-02-13
C1203,2023-09-21
C1204,2023-10-19
C1205,2023-06-21
C1206,2023-02-01
C1207,2023-07-29
C1208,2023-06-23
C1209,2023-12-16
C1210,2023-09-30
C1211,2023-05-18
C1212,2023-01-24
C1213,2023-08-25
C1214,2023-04-22
C1215,2023-10-01
C1216,2023-12-12
C1217,2023-05-23
C1218,2023-12-28
C1219,2023-07-27
C1220,2023-08-01
C1221,2023-11-03
C1222,2023-11-12
C1223,2023-12-30
C1224,2024-02-04
C1225,2023-03-02
C1226,2023-06-15
C1227,2024-01-09
C1228,2023-05-04
C1229,2023-01-03
C1230,2023-08-19
C1231,2023-10-29
C1232,2023-10-25
C1233,2023-11-21
C1234,2023-09-15
C1235,2023-02-24
C1236,2023-12-05
C1237,2023-06-17
C1238,2023-12-05
C1239,2023-11-23
C1240,2024-01-24
C1241,2023-01-06
C1242,2023-12-13
C1243,2023-09-09
C1244,2023-07-14
C1245,2023-11-14
C1246,2024-01-16
C1247,2023-07-25
C1248,2023-02-04
C1249,2023-10-18
C1250,2023-04-03
C1251,2023-04-01
C1252,2023-03-19
C1253,2023-03-21
C1254,2023-12-30
C1255,2023-05-26
C1256,2023-02-12
C1257,2023-03-13
C1258,2023-06-07
C1259,2023-05-19
C1260,2023-05-05
C1261,2024-01-15
C1262,2023-12-13
C1263,2023-08-18
C1264,2024-01-30
C1265,2023-05-17
C1266,2023-02-25
C1267,2023-04-19
C1268,2023-02-05
C1269,2024-01-16
C1270,2023-03-29
C1271,2023-06-27
C1272,2023-03-22
C1273,2024-01-28
C1274,2023-03-05
C1275,2023-07-26
C1276,2024-01-16
C1277,2023-07-28
C1278,2023-12-26
C1279,2023-12-25
C1280,2023-11-04
C1281,2023-10-25
C1282,2023-08-19
C1283,2023-08-21
C1284,2023-11-29
C1285,2023-06-20
C1286,2024-01-14
C1287,2023-12-18
C1288,2023-05-30
C1289,2023-06-14
C1290,2023-10-13
C1291,2024-01-05
C1292,2023-02-08
C1293,2023-01-28
C1294,2023-04-10
C1295,2023-06-21
C1296,2023-03-07
C1297,2023-07-27
C1298,2023-08-05
C1299,2024-01-16
